_id,ID,YEAR_FUNDED,GROUP_NAME,PROJECT_NAME,GARDEN_TYPE,NUMBER_OF_GARDENS,ESTIMATED_GARDEN_SIZE,NEIGHBOURHOOD_NUMBER,NIA_OR_EN,PRIMARY_LOCATION_NAME,PRIMARY_GARDEN_ADDRESS,POSTAL_CODE,IS_INDIGENOUS_GARDEN,WARD_NAME,WARD_NUMBER,DESCRIPTION,IMAGE_NAME,IMAGE_ALT_TEXT,geometry
149,153,2024,Blooming Partners,Bee The Happy Place,Communal Garden,1,67,136,NIA,BGC East Scarborough,100 Galloway Rd.,M1E 1W7,None,Scarborough-Guildwood,24,None,None,None,"{""coordinates"": [[-79.19333851, 43.75742845]], ""type"": ""MultiPoint""}"
150,154,2024,Blue Pond Garden Club,Blue Pond Native Garden,Boulevard Garden,4,8,130,None,Blue Pond PlaceTraffic Island,25-39 Blue Pond Pl.,M1V 1Y1,None,Scarborough North,23,None,None,None,"{""coordinates"": [[-79.28099979, 43.82202113]], ""type"": ""MultiPoint""}"
151,155,2024,Charles E Webster PS Eco Club,Project Pollinator,School Learning Garden,4,3,112,NIA,Charles E Webster Public School,1900 Keele St.,M6M 3X7,None,York South-Weston,5,None,None,None,"{""coordinates"": [[-79.47509952, 43.69343444]], ""type"": ""MultiPoint""}"
152,156,2024,CHPS Pollinator Propagators,CHPS Pollinator Propagator Garden,School Learning Garden,1,67.5,141,NIA,Churchill Heights Public School,749 Brimorton Dr.,M1G 2S4,None,Scarborough-Guildwood,24,None,None,None,"{""coordinates"": [[-79.22431679, 43.77319194]], ""type"": ""MultiPoint""}"
153,157,2024,Church and Gloucester Street Pollinator Garden ,Church and Gloucester Street Pollinator Garden ,Boulevard Garden,1,42,167,None,Grace MacInnis Co-operative Housing,561 Church St.,M4Y 2E4,None,Toronto Centre,13,None,None,None,"{""coordinates"": [[-79.38145957, 43.66749864]], ""type"": ""MultiPoint""}"
154,158,2024,DCTI EcoClub,DCTI Gardens,School Learning Garden,2,20,66,None,Danforth Collegiate and Technical Institute,800 Greenwood Ave.,M4J 4B6,None,Toronto-Danforth,14,None,None,None,"{""coordinates"": [[-79.33408956, 43.68283873]], ""type"": ""MultiPoint""}"
155,159,2024,DMA Green Gang,DMA Pollinator Garden Project,Multiple Front Yard Gardens,1,150,42,None,Don Mills Seniors' Apartments,1055/1057 Don Mills Rd.,M3C 1W9,None,Don Valley East,16,None,None,None,"{""coordinates"": [[-79.34203157, 43.73388916]], ""type"": ""MultiPoint""}"
156,160,2024,East End United Regional Ministry,Hurndale Ave Beautification,Spiritual Centre Garden,2,33,67,None,East End United Church,310 Danforth Ave.,M4K 2X4,None,Toronto-Danforth,14,None,None,None,"{""coordinates"": [[-79.35372581, 43.67755055]], ""type"": ""MultiPoint""}"
157,161,2024,East Yorker Gardeners,Our Home is YourZZZ Home,Multiple Front Yard Gardens,1,17,59,None,East Yorker Condominium,280 Donlands Ave.,M4J 0A3,None,Toronto-Danforth,14,None,None,None,"{""coordinates"": [[-79.34170716, 43.69051913]], ""type"": ""MultiPoint""}"
158,162,2024,FCJ Refugee Centre,Refugee Haven Pollinator Garden,Communal Garden,4,9,107,None,FCJ Refugee Centre,208 Oakwood Ave.,M6E 2V4,None,Davenport,9,None,None,None,"{""coordinates"": [[-79.43689572, 43.68194724]], ""type"": ""MultiPoint""}"
159,163,2024,Fernie Works,Fernie Grows,Communal Garden,1,9,143,None,Fernie Youth Services,437 Port Union Rd.,M1C 2L6,None,Scarborough-Rouge Park,25,None,None,None,"{""coordinates"": [[-79.1424819, 43.79469005]], ""type"": ""MultiPoint""}"
160,164,2024,FH Miller Junior Public School Naturalist Club,Miller Bees Educational Pollinator Gardens,School Learning Garden,3,13,109,None,FH Miller Junior Public School,300 Caledonia Rd.,M6E 4T5,None,Davenport,9,None,None,None,"{""coordinates"": [[-79.45890136, 43.68401436]], ""type"": ""MultiPoint""}"
161,165,2024,Flemingdon Park Ministry,Common Table Farm Pollinator Garden,Communal Garden,3,2,149,None,The Church of Our Saviour,1 Laurentide Dr.,M3A 3C6,None,Don Valley East,16,None,None,None,"{""coordinates"": [[-79.33718142, 43.75163238]], ""type"": ""MultiPoint""}"
162,166,2024,Fred Victor,Pollinator Garden Project for Communal Gardens in Regent Park,Communal Garden,3,6,72,NIA,Fred Victor,40 Oak St.,M5A 2C6,None,Toronto Centre,13,None,None,None,"{""coordinates"": [[-79.36519234, 43.66120916]], ""type"": ""MultiPoint""}"
163,167,2024,General Crerar's EcoSquad,School gardens revitalization,School Learning Garden,3,10,126,EN,General Crerar Public School,30 McGregor Rd.,M1P 1C8,None,Scarborough Centre,21,None,None,None,"{""coordinates"": [[-79.27958087, 43.74569537]], ""type"": ""MultiPoint""}"
164,168,2024,Highland Creek EcoTeam,Pollinator Garden,School Learning Garden,1,3,134,None,Highland Creek Public School,1410 Military Tr.,M1C 1A8,None,Scarborough-Rouge Park,25,None,None,None,"{""coordinates"": [[-79.17844948, 43.78350952]], ""type"": ""MultiPoint""}"
165,169,2024,Hillcrest Green Team,Hillcrest Community School Native Pollinators Learning Garden,School Learning Garden,1,91,96,None,Hillcrest Community School,44 Hilton Ave.,M5R 3E6,None,Toronto-St. Paulâs,12,None,None,None,"{""coordinates"": [[-79.41584802, 43.67905104]], ""type"": ""MultiPoint""}"
166,170,2024,Humberside Environmental Action Team,Pollinate with HEAT,School Learning Garden,1,3,88,None,Humberside Collegiate Institute,280 Quebec Ave.,M6P 2V3,None,Parkdale-High Park,4,None,None,None,"{""coordinates"": [[-79.47064606, 43.65995129]], ""type"": ""MultiPoint""}"
167,171,2024,Maher Circle Pollinator Garden Project Team,Maher Circle Pollinator Garden,City Park,1,126,90,None,Maher Circle Parkette,Maher Ave. & Gilmour Ave.,M6P 3B2,None,Parkdale-High Park,4,None,None,None,"{""coordinates"": [[-79.47811723, 43.66280346]], ""type"": ""MultiPoint""}"
168,172,2024,Mason Road PS Eco Club,Mason Road's Magical Garden,School Learning Garden,4,29,139,NIA,Mason Road Public School,78 Mason Rd.,M1M 3R2,None,Scarborough Southwest,20,None,None,None,"{""coordinates"": [[-79.2256546, 43.73905644]], ""type"": ""MultiPoint""}"
169,173,2024,MCCT Garden Faeries,MCCT Pollinator Learning Garden,Spiritual Centre Garden,1,205,68,None,Metropolitan Community Church of Toronto,115 Simpson Ave.,M4K 1A1,None,Toronto-Danforth,14,None,None,None,"{""coordinates"": [[-79.34786251, 43.66692102]], ""type"": ""MultiPoint""}"
170,174,2024,Melody Pollinates,Melody Pollinator Gardens,School Learning Garden,1,18,1,None,Melody Village Junior Public School,520 Silverstone Dr.,M9V 3L5,None,Etobicoke North,1,None,None,None,"{""coordinates"": [[-79.59484259, 43.73813475]], ""type"": ""MultiPoint""}"
171,175,2024,Native Womenâs Resource Centre of Toronto (NWRCT) and Friends of Allan Gardens,Breathing new life into Allan Gardenâs Medicine Garden,City Park,1,175,73,None,Allan Gardens,19 Horticultural Ave.,M5A 2P2,Y,Toronto Centre,13,None,None,None,"{""coordinates"": [[-79.37480223, 43.661419]], ""type"": ""MultiPoint""}"
172,176,2024,OCAD University,Community Pollinator Garden,School Learning Garden,1,15,78,None,OCAD University,100 McCaul St.,M5T 2W7,None,Spadina-Fort York,10,None,None,None,"{""coordinates"": [[-79.39120499, 43.65300337]], ""type"": ""MultiPoint""}"
173,177,2024,Ravel Church Properties,Tri-church Pollinator Gardens,Spiritual Centre Garden,4,3,48,None,Tri-Congregational Churches,1080 Finch Ave. East,M2J 2X2,None,Don Valley North,17,None,None,None,"{""coordinates"": [[-79.36494149, 43.79089037]], ""type"": ""MultiPoint""}"
174,178,2024,Residents First,Seniors Social Engagement_,Boulevard Garden,10,1,32,EN,7 Flemington Rd.,7 Flemington Rd.,M6A 2N5,None,Eglinton-Lawrence,8,None,None,None,"{""coordinates"": [[-79.44436141, 43.71910907]], ""type"": ""MultiPoint""}"
175,179,2024,Riverdale Environmental Action League,Jones Avenue Pollinator Garden,School Learning Garden,1,10,70,None,Riverdale Collegiate Institute,1094 Gerrard St. East,M4M 2A1,None,Toronto-Danforth,14,None,None,None,"{""coordinates"": [[-79.33485982, 43.67004769]], ""type"": ""MultiPoint""}"
176,180,2024,Rouge Butterflyway Group,Tony Stacey Centre for Veterans Garden,Communal Garden,5,25,133,None,Tony Stacey Centre For Veterans Care,59 Lawson Rd.,M1C 2J1,None,Scarborough-Rouge Park,25,None,None,None,"{""coordinates"": [[-79.16331881, 43.78331054]], ""type"": ""MultiPoint""}"
177,181,2024,Santa Maria School,Santa Maria's Green Spaces,School Learning Garden,5,3,111,NIA,Santa Maria Catholic School,25 Avon Ave.,M6N 4X8,None,York South-Weston,5,None,None,None,"{""coordinates"": [[-79.47745158, 43.68154197]], ""type"": ""MultiPoint""}"
178,182,2024,St. Josephâs Pollinator Garden Committee,St. Joseph's Pollinator Garden,Communal Garden,1,12,87,None,St. Joseph's Health Centre,30 The Queensway,M6R 1B5,None,Parkdale-High Park,4,None,None,None,"{""coordinates"": [[-79.45023748, 43.63955618]], ""type"": ""MultiPoint""}"
179,183,2024,St.Luigi School Garden Brigade,Holly's Garden,School Learning Garden,2,28,171,None,St. Luigi Catholic School,2 Ruskin Ave.,M6P 3P8,None,Davenport,9,None,None,None,"{""coordinates"": [[-79.45147012, 43.66287558]], ""type"": ""MultiPoint""}"
180,184,2024,TCH SCHC EarlyON Child and Family Centre 4110/4110LAE,TCH SCHC EarlyON Child and Family Centre Pollinator Garden,Communal Garden,1,111,136,NIA,TCH SCHC EarlyON Child and Family Centre,4110/4100 Lawrence Ave. East,M1E 2S2,None,Scarborough-Guildwood,24,None,None,None,"{""coordinates"": [[-79.19555027, 43.76682615]], ""type"": ""MultiPoint""}"
181,185,2024,The Church of St. Aidan,Pollinator-Rain Garden,Spiritual Centre Garden,1,107,63,None,The Church of St. Aidan,2423 Queen St. East,M4E 1H6,None,Beaches-East York,19,None,None,None,"{""coordinates"": [[-79.2854981, 43.67274623]], ""type"": ""MultiPoint""}"
182,186,2024,The Church of the Messiah and Partners,COTM pollinator gardens 2023,Spiritual Centre Garden,3,19,95,None,The Church of the Messiah,240 Avenue Rd.,M5R 1X2,None,University-Rosedale,11,None,None,None,"{""coordinates"": [[-79.39792161, 43.67693383]], ""type"": ""MultiPoint""}"
183,187,2024,Topcliff's ECOclub,Topcliff's Pollinator Corridor Project,School Learning Garden,2,12,25,NIA,Topcliff Public School,65 Topcliff Ave.,M3N 1L6,None,Humber River-Black Creek,7,None,None,None,"{""coordinates"": [[-79.51065889, 43.7555851]], ""type"": ""MultiPoint""}"
184,188,2024,Trinity-St.Paul's United Church,TSP Pollinator Garden,Boulevard Garden,3,32,79,None,Trinity-St.Paul's United Church,427 Bloor St. West,M5S 1X7,None,University-Rosedale,11,None,None,None,"{""coordinates"": [[-79.40570782, 43.66603939]], ""type"": ""MultiPoint""}"
185,189,2024,Weston Neighbourhood Gardeners,Pelmo Park Pollinator Garden,City Park,1,70,23,None,Pelmo Park,171 Pellatt Ave.,M9N 2P5,None,York South-Weston,5,None,None,None,"{""coordinates"": [[-79.51951374, 43.71426438]], ""type"": ""MultiPoint""}"
