_id,ID,YEAR_FUNDED,GROUP_NAME,PROJECT_NAME,GARDEN_TYPE,NUMBER_OF_GARDENS,ESTIMATED_GARDEN_SIZE,NEIGHBOURHOOD_NUMBER,NIA_OR_EN,PRIMARY_LOCATION_NAME,PRIMARY_GARDEN_ADDRESS,POSTAL_CODE,IS_INDIGENOUS_GARDEN,WARD_NAME,WARD_NUMBER,DESCRIPTION,IMAGE_NAME,IMAGE_ALT_TEXT,geometry
104,108,2023,Children's Environmental Education Committee,Pollinator Ambassadors: Pollinator Education at Sprucecourt Co-op and Beyond,Multi-Residential Garden,3,86,71,None,Spruce Court Co-op,86 Spruce Street,M5A 2J1,None,Toronto Centre,13,None,None,None,"{""coordinates"": [[-79.36253809, 43.66445951]], ""type"": ""MultiPoint""}"
105,109,2023,Dufferin Grove Park Garden Co-operative,Dufferin Grove Pollinator Gardens Project,City Park,1,23,83,None,Dufferin Grove Park,875 Dufferin Street,M6H 3K8,None,Davenport,9,None,None,None,"{""coordinates"": [[-79.43360091, 43.65704246]], ""type"": ""MultiPoint""}"
106,110,2023,East York Children's Community Garden,Pollinator Patch,Communal Garden,1,51,58,None,East York Community Recreation Centre,1081 1/2 Pape Avenue,M4K 3W6,None,Toronto-Danforth,14,None,None,None,"{""coordinates"": [[-79.34927045, 43.69178398]], ""type"": ""MultiPoint""}"
107,111,2023,EcoClub and Autism Intensive Support Program,GreenSpace,School Learning Garden,2,30,24,NIA,Brookview Middle School,4505 Jane Street,M3N 2K7,None,Humber River-Black Creek,7,None,None,None,"{""coordinates"": [[-79.51724666, 43.76745723]], ""type"": ""MultiPoint""}"
108,112,2023,Ãcole ÃlÃ©mentaire Paul-Demers,Oasis de petites bestioles,School Learning Garden,1,35,48,None,Ãcole Ã©lÃ©mentaire Paul-Demers,100 Ravel Road,M2H 1S9,None,Don Valley North,17,None,None,None,"{""coordinates"": [[-79.36734038, 43.79195183]], ""type"": ""MultiPoint""}"
109,113,2023,Environmental Justice Committee,Pollinator Garden,School Learning Garden,2,9.29,147,EN,Beverly Glen Junior Public School,85 Beverly Glen Boulevard,M1W 1W4,None,Scarborough-Agincourt,22,None,None,None,"{""coordinates"": [[-79.32307086, 43.79866171]], ""type"": ""MultiPoint""}"
110,114,2023,Evergreen,"Bird, Bee and Butterfly Garden",School Learning Garden,1,131,56,None,Evergreen Brick Works,550 Bayview Avenue,M4W 1Y3,None,University-Rosedale,11,None,None,None,"{""coordinates"": [[-79.36477706, 43.68462229]], ""type"": ""MultiPoint""}"
111,115,2023,Faywood ABC School Eco-Club,Garden for Pollinators,School Learning Garden,2,6,33,None,Faywood Arts-Based Curriculum School,95 Faywood Boulevard,M3H 2X5,None,York Centre,6,None,None,None,"{""coordinates"": [[-79.44669733, 43.73985503]], ""type"": ""MultiPoint""}"
112,116,2023,Frankland Community School,Frankland Greening,School Learning Garden,4,130,68,None,Frankland Community School,816 Logan Avenue,M4K 3E1,None,Toronto-Danforth,14,None,None,None,"{""coordinates"": [[-79.34968008, 43.67715067]], ""type"": ""MultiPoint""}"
113,117,2023,Friends of Morningside High Park,MHP Pollinator Gardens,Spiritual Centre Garden,3,242,87,None,Morningside-High Park Presbyterian Church,4 Morningside Avenue,M6S 1C2,None,Parkdale-High Park,4,None,None,None,"{""coordinates"": [[-79.47303306, 43.64634907]], ""type"": ""MultiPoint""}"
114,118,2023,Garden @ Kimbourne Community Permaculture Project,Pollinator Education Gardens,Spiritual Centre Garden,2,58,66,None,Kimbourne Park United Church,200 Wolverleigh Boulevard,M4C 1S2,None,Beaches-East York,19,None,None,None,"{""coordinates"": [[-79.32251593, 43.68569159]], ""type"": ""MultiPoint""}"
115,119,2023,Guildwood Butterflyway Project,Guildwood Blooming Boulevards 2023,Multiple Front Yard Gardens,5,139,140,None,Private Residential Property,19 Forsythia Drive,M1E 1X9,None,Scarborough-Guildwood,24,None,None,None,"{""coordinates"": [[-79.18756771, 43.75138505]], ""type"": ""MultiPoint""}"
116,120,2023,Howard School Community,Howard Learning Garden,School Learning Garden,1,10,87,None,Howard Junior Public School,30 Marmaduke Street,M6R 1T2,None,Parkdale-High Park,4,None,None,None,"{""coordinates"": [[-79.45227209, 43.65042631]], ""type"": ""MultiPoint""}"
117,121,2023,Labour Education Centre,Labour Education Centre Pollinator Garden,Communal Garden,1,10,21,NIA,Labour Education Centre,25 Klondike Drive,M9L 1P8,None,Humber River-Black Creek,7,None,None,None,"{""coordinates"": [[-79.55129197, 43.76763916]], ""type"": ""MultiPoint""}"
118,122,2023,Lakeshore Environmental Gardening Society (LEGS),North Pollinator Garden @ The Daily Bread Food Bank,Communal Garden,1,175,18,None,Daily Bread Food Bank,191 New Toronto Street,M8V 2E7,None,Etobicoke-Lakeshore,3,None,None,None,"{""coordinates"": [[-79.50409959, 43.60644115]], ""type"": ""MultiPoint""}"
